observation_date,CLVMEURSCAB1GQEA19
1995-01-01,1840627.4
1995-04-01,1855708.6
1995-07-01,1860588.0
1995-10-01,1864576.0
1996-01-01,1867262.5
1996-04-01,1881753.9
1996-07-01,1891236.9
1996-10-01,1901352.9
1997-01-01,1906987.1
1997-04-01,1929787.8
1997-07-01,1944729.6
1997-10-01,1965141.7
1998-01-01,1979282.7
1998-04-01,1987176.4
1998-07-01,1997686.8
1998-10-01,2003517.5
1999-01-01,2024148.3
1999-04-01,2033737.9
1999-07-01,2060517.5
1999-10-01,2082180.7
2000-01-01,2109061.7
2000-04-01,2128082.5
2000-07-01,2142396.0
2000-10-01,2152133.6
2001-01-01,2175968.0
2001-04-01,2177149.0
2001-07-01,2181574.1
2001-10-01,2180632.7
2002-01-01,2184894.8
2002-04-01,2195558.5
2002-07-01,2205112.7
2002-10-01,2209259.3
2003-01-01,2203316.9
2003-04-01,2204099.8
2003-07-01,2218259.7
2003-10-01,2232061.1
2004-01-01,2244466.9
2004-04-01,2258110.1
2004-07-01,2263448.2
2004-10-01,2272995.0
2005-01-01,2279122.3
2005-04-01,2293128.4
2005-07-01,2310484.1
2005-10-01,2326305.9
2006-01-01,2347957.5
2006-04-01,2373837.3
2006-07-01,2387168.3
2006-10-01,2414787.8
2007-01-01,2431749.2
2007-04-01,2447845.3
2007-07-01,2457468.3
2007-10-01,2469544.8
2008-01-01,2485534.4
2008-04-01,2472912.1
2008-07-01,2459544.1
2008-10-01,2418169.8
2009-01-01,2344313.2
2009-04-01,2343321.3
2009-07-01,2351753.7
2009-10-01,2362647.5
2010-01-01,2372724.1
2010-04-01,2394114.1
2010-07-01,2404627.2
2010-10-01,2419646.8
2011-01-01,2442344.5
2011-04-01,2441928.7
2011-07-01,2442751.4
2011-10-01,2436282.4
2012-01-01,2429699.2
2012-04-01,2420806.8
2012-07-01,2417426.7
2012-10-01,2407803.7
2013-01-01,2398520.3
2013-04-01,2414171.4
2013-07-01,2422119.2
2013-10-01,2428725.1
2014-01-01,2438621.2
2014-04-01,2444140.5
2014-07-01,2455761.0
2014-10-01,2466087.5
2015-01-01,2483814.6
2015-04-01,2494937.9
2015-07-01,2504449.5
2015-10-01,2517422.5
2016-01-01,2529825.9
2016-04-01,2535712.7
2016-07-01,2547627.4
2016-10-01,2565959.3
2017-01-01,2585695.6
2017-04-01,2604673.2
2017-07-01,2623445.4
2017-10-01,2644477.4
2018-01-01,2644770.0
2018-04-01,2658247.2
2018-07-01,2659800.1
2018-10-01,2676106.4
2019-01-01,2693600.2
2019-04-01,2703119.7
2019-07-01,2707786.6
2019-10-01,2707965.9
2020-01-01,2617369.3
2020-04-01,2326102.7
2020-07-01,2597835.4
2020-10-01,2606414.2
2021-01-01,2621498.2
2021-04-01,2680464.1
2021-07-01,2729440.4
2021-10-01,2750579.0
2022-01-01,2765072.3
2022-04-01,2790312.8
2022-07-01,2806993.0
2022-10-01,2804622.5
2023-01-01,2803740.3
2023-04-01,2805794.8
2023-07-01,2805955.2
2023-10-01,2807060.8
2024-01-01,2815698.2
2024-04-01,2820539.9
2024-07-01,2832045.6
